Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton),Sisa Makanan,Sisa Makanan (%),KayuRanting,KayuRanting (%),KertasKarton,KertasKarton (%),Plastik,Plastik(%),Logam,Logam(%),Kain,Kain(%),Karet Kulit,Karet Kulit (%),Kaca,Kaca(%),Lainnya,Lainnya(%),Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton),Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B), %Pengurangan Sampah(B/A) ,Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2,Luas Wilayah (km2)(A),Luas RTH (km2)(B),% RTH(B/A),Taman Kota (km2),Hutan Kota (km2),Jalur hijau di Jalan (km2),Sempadan Sungai (km2),Sempadan Pantai (km2),Tempat Pemakaman Umum (km2),Sempadan Rel Kereta Api (km2),Jalur Hijau Jaringan Listrik Tegangan Tinggi (km2),Pengaman Sumber_Air Baku Mata Air (km2),Kebun Bibit (km2),Lainlain (km2),Klaster
2024,Aceh,Kab. Aceh Selatan,95.79,34963.35,1051697.568,30.08,429699.5715,12.29,458019.885,13.1,570951.5055,16.33,223765.44,6.4,189501.357,5.42,119924.2905,3.43,187053.9225,5.35,265721.46,7.6,1.1,0.95,6.0,5.65,5.95,0.4,1.3,34963.35,508.75,1.4551,12787.75,36.57473,13296.5,38.02982,68.0,3039.402985074627,8.887600830797469,P 2,4173.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Tenggara,114.68,41859.66,1643277.45,47.0,174816.75,5.0,314670.15,9.0,874083.75,25.0,139853.4,4.0,104890.05,3.0,104890.05,3.0,139853.4,4.0,2868.267373,6.852048193,21.0,16.0,28.0,8.0,9.0,18.0,1.0,41859.66,26.0,0.06211,365.0,0.87196,391.0,0.93407,2397.791667,365.0,0.87,P 2,4242.04,2.2,0.05,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Timur,184.56,67363.09,874083.75,25.0,734230.35,21.0,314670.15,9.0,489486.9,14.0,244743.45,7.0,174816.75,5.0,209780.1,6.0,279706.8,8.0,174816.75,5.0,18.0,5.0,12.0,9.0,5.0,2.0,2.0,67363.09,2.0,0.00297,29484.0,43.76878,29486.0,43.77175,602.3333333,858.0,1.27,P 2,6040.6,0.13556,0.0,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Tengah,113.98,41601.58,769193.7,22.0,629340.3,18.0,244743.45,7.0,909047.1,26.0,104890.05,3.0,384596.85,11.0,174816.75,5.0,174816.75,5.0,104890.05,3.0,50.0,7.0,15.0,11.0,5.0,8.0,4.0,41601.58,2413.0,5.80026,1166.0,2.80278,3579.0,8.60304,1066.333333,1166.0,2.8,P 2,4527.53,0.96171,0.02,0.32,0.02,0.02,0.6,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Barat,102.55,37432.21,1992910.95,57.0,115379.055,3.3,209780.1,6.0,839120.4,24.0,139853.4,4.0,104890.05,3.0,34963.35,1.0,41956.02,1.2,17481.675,0.5,56.65,5.5,21.6,10.65,2.95,2.8,2.4,37432.21,1.0,0.00267,25262.0,67.48733,25263.0,67.49,1424.0,1533.0,4.1,P 2,292795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Aceh,Kab. Aceh Besar,149.14,54434.93,891565.425,25.5,891565.425,25.5,332151.825,9.5,755208.36,21.6,178313.085,5.1,115379.055,3.3,115379.055,3.3,129364.395,3.7,87408.375,2.5,48.2,2.7,19.6,12.1,4.3,7.8,5.3,54434.93,4.0,0.00735,1005.0,1.84624,1009.0,1.85359,852.0,1005.0,1.85,P 2,2903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Pidie,181.02,66071.86,297188.475,8.5,262225.125,7.5,674792.655,19.3,1248191.595,35.7,139853.4,4.0,34963.35,1.0,104890.05,3.0,69926.7,2.0,664303.65,19.0,15.0,10.0,60.1,294.3825926,5.9,1378.442798,9.0,66071.86,9137.0,13.82888,22240.0,33.66032,31377.0,47.4892,9128.5,7807.0,11.82,P 2,3184.46,0.41954,0.01,0.12,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.23,1
2024,Aceh,Kab. Aceh Utara,307.32,112171.8,1048900.5,30.0,349633.5,10.0,349633.5,10.0,1398534.0,40.0,174816.75,5.0,69926.7,2.0,34963.35,1.0,34963.35,1.0,34963.35,1.0,150.0,2.0,112.0,20.32,10.0,10.0,3.0,112171.8,13.0,0.01159,19317.0,17.22091,19330.0,17.2325,2397.791667,1249.0,1.11,P 2,3296.86,0.0542,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Simeulue,45.68,16673.93,797164.38,22.8,534939.255,15.3,423056.535,12.1,916039.77,26.2,356626.17,10.2,125868.06,3.6,97897.38,2.8,69926.7,2.0,174816.75,5.0,13.7,5.48,11.42,8.68,3.2,1.83,1.37,16673.93,579.5,3.47549,625.0,3.74837,1204.5,7.22385,579.5,625.0,3.75,P 2,1838.1,0.1227,0.01,0.02,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Singkil,54.9,20039.08,1048900.5,30.0,349633.5,10.0,524450.25,15.0,769193.7,22.0,69926.7,2.0,174816.75,5.0,104890.05,3.0,69926.7,2.0,384596.85,11.0,34.0,0.3,12.0,5.0,0.6,2.0,1.0,20039.08,691.5,3.45076,1248.0,6.22783,1939.5,9.67859,691.5,1248.0,6.23,P 2,1857.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
